sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2023-03-23_23:28:45_563 GMT+8
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,362718347,0.646809,-0.369800,-0.575722,-0.336794,-0.015633,-0.003711,0.006547
2,362735014,0.646965,-0.369959,-0.575589,-0.336546,-0.011759,0.018671,0.014486
3,362751681,0.646999,-0.370319,-0.575195,-0.336760,-0.019865,0.020975,0.017829
4,362768348,0.647155,-0.370485,-0.574889,-0.336801,-0.002516,0.013841,0.014427
5,362785015,0.647454,-0.370315,-0.574842,-0.336491,-0.004056,0.019373,0.004128
6,362801682,0.647541,-0.370474,-0.574606,-0.336551,-0.000491,-0.005997,0.022511
7,362818349,0.647732,-0.370433,-0.574539,-0.336346,0.019621,0.010153,0.019159
8,362835016,0.647616,-0.370846,-0.574220,-0.336658,0.019962,-0.000871,0.002023
9,362851683,0.647555,-0.371117,-0.574024,-0.336811,0.030937,0.003544,0.026796
10,362868350,0.647545,-0.371279,-0.573909,-0.336848,0.044818,-0.032519,0.019945
11,362885017,0.647509,-0.371510,-0.573757,-0.336922,0.040117,0.006908,0.002157
12,362901684,0.647546,-0.371619,-0.573678,-0.336862,0.025677,0.006940,0.014484
13,362918351,0.647571,-0.371732,-0.573611,-0.336805,0.013234,0.014108,0.006822
14,362935018,0.647669,-0.371715,-0.573626,-0.336608,0.033543,0.013549,-0.009232
15,362951685,0.647648,-0.371907,-0.573491,-0.336669,0.048294,0.013773,0.005561
16,362968352,0.647655,-0.372051,-0.573390,-0.336667,0.057612,0.003376,0.011843
17,362985019,0.647672,-0.372172,-0.573310,-0.336639,0.050538,-0.010880,0.000198
18,363001686,0.647733,-0.372204,-0.573284,-0.336529,0.053847,0.000779,0.009765
19,363018353,0.647733,-0.372355,-0.573183,-0.336533,0.061751,-0.001811,-0.001942
20,363035020,0.647704,-0.372556,-0.573036,-0.336617,0.051808,-0.008421,0.019436
21,363051687,0.647768,-0.372615,-0.572986,-0.336514,0.055145,0.007217,0.025724
22,363068354,0.647810,-0.372714,-0.572921,-0.336435,0.051387,0.013718,0.016378
23,363085021,0.647814,-0.372870,-0.572809,-0.336444,0.032559,0.027659,0.011115
24,363101688,0.647853,-0.372965,-0.572744,-0.336375,0.056261,0.034844,0.009137
25,363118355,0.647849,-0.373127,-0.572637,-0.336385,0.056931,0.019556,0.016871
26,363135022,0.647856,-0.373269,-0.572532,-0.336394,0.072709,0.019521,0.018230
27,363151689,0.647869,-0.373412,-0.572424,-0.336392,0.059528,0.036733,0.018815
28,363168356,0.647882,-0.373546,-0.572326,-0.336386,0.066149,0.019246,0.021163
29,363185023,0.647930,-0.373628,-0.572262,-0.336311,0.074671,0.018603,0.011585
30,363201690,0.647966,-0.373738,-0.572179,-0.336261,0.083012,0.013579,0.012468
31,363218357,0.648028,-0.373806,-0.572117,-0.336170,0.076841,0.007587,0.004745
32,363235024,0.648084,-0.373890,-0.572048,-0.336088,0.100360,0.004436,0.014502
33,363251691,0.648098,-0.374054,-0.571923,-0.336092,0.069288,0.035003,0.003737
34,363268358,0.648138,-0.374168,-0.571822,-0.336058,0.081950,0.029094,0.010728
35,363285025,0.648180,-0.374266,-0.571732,-0.336021,0.077582,0.050288,0.008152
36,363301692,0.648268,-0.374283,-0.571697,-0.335892,0.100586,0.029597,0.001568
37,363318359,0.648251,-0.374456,-0.571577,-0.335936,0.100242,0.039389,0.018071
38,363335026,0.648247,-0.374627,-0.571449,-0.335970,0.097815,0.030896,0.016885
39,363351693,0.648269,-0.374756,-0.571348,-0.335956,0.107137,0.029233,0.010294
40,363368360,0.648332,-0.374805,-0.571293,-0.335873,0.112355,0.016786,0.011873
41,363385027,0.648357,-0.374931,-0.571195,-0.335852,0.093303,0.045840,0.000319
42,363401694,0.648427,-0.374970,-0.571148,-0.335754,0.105771,0.032474,0.002636
43,363418361,0.648449,-0.375095,-0.571042,-0.335751,0.095153,0.026592,0.017904
44,363435028,0.648485,-0.375185,-0.570959,-0.335723,0.105588,0.036576,0.007225
45,363451695,0.648524,-0.375279,-0.570885,-0.335667,0.115518,0.039013,0.016200
46,363468362,0.648554,-0.375388,-0.570789,-0.335650,0.129840,0.041348,0.001494
47,363485029,0.648584,-0.375496,-0.570706,-0.335614,0.121133,0.039618,0.013762
48,363501696,0.648659,-0.375508,-0.570697,-0.335471,0.120367,0.038580,0.023380
